Day,Category,Event,Start Time,End Time,Venue,Venue Photos,Map Navigation
Day 1,Ceremony,Inauguration Ceremony,15:30,17:45,Auditorium,https://www.google.com/search?tbm=isch&q=Auditorium%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Auditorium%20IIT%20Kanpur
Day 1,Competition,Hovermania,18:00,21:15,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 1,Competition,Atlassian Career Cafe,18:30,20:00,L-16,https://www.google.com/search?tbm=isch&q=L-16%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-16%20IIT%20Kanpur
Day 1,Competition,Multirotor,21:15,00:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 1,Show,Aditya Chauhan,21:00,22:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 1,Show,Swar Duet,23:00,00:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 2,Competition,Sky Sparks,07:30,16:00,Hockey Ground,https://www.google.com/search?tbm=isch&q=Hockey%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Hockey%20Ground%20IIT%20Kanpur
Day 2,Competition,Eightfold AI Hackathon,08:00,17:00,L-1,https://www.google.com/search?tbm=isch&q=L-1%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-1%20IIT%20Kanpur
Day 2,Competition,Bridge Design Challenge,09:00,12:00,Dance Room / Structure Lab,https://www.google.com/search?tbm=isch&q=Dance%20Room%20/%20Structure%20Lab%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Dance%20Room%20/%20Structure%20Lab%20IIT%20Kanpur
Day 2,Competition,UNHRC,09:00,13:00,Senate,https://www.google.com/search?tbm=isch&q=Senate%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Senate%20IIT%20Kanpur
Day 2,Competition,Atlassian Hackathon,09:00,16:00,L-16,https://www.google.com/search?tbm=isch&q=L-16%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-16%20IIT%20Kanpur
Day 2,Competition,Manoeuvre,09:00,16:30,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
